max_depth,training_accuracy,testing_accuracy,training_f1,testing_f1,generalization_gap
1,0.9230769230769231,0.9210526315789473,0.9405772495755518,0.9387755102040817,0.002024291497975783
2,0.9582417582417583,0.8947368421052632,0.966131907308378,0.9117647058823529,0.06350491613649512
3,0.9758241758241758,0.9385964912280702,0.9809358752166378,0.9517241379310345,0.03722768459610559
4,0.9868131868131869,0.9385964912280702,0.9895833333333334,0.951048951048951,0.04821669558511665
5,0.9934065934065934,0.9210526315789473,0.9947460595446584,0.9361702127659575,0.07235396182764608
7,1.0,0.9122807017543859,1.0,0.9285714285714286,0.08771929824561409
unlimited,1.0,0.9122807017543859,1.0,0.9285714285714286,0.08771929824561409
